company_name,job_title,location,salaries,description
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC","$99,000 - $146,000 a year (Indeed est.)","Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA","$86,000 - $127,000 a year (Indeed est.)","Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Leading Path Consulting,Cleared Data Scientist,"Reston, VA","$150,000 - $200,000 a year","From time to time, the Data Scientist shall be called upon to consult with working-level data scientists on the appropriate use of particular data science..."
"FireEye, Inc.",Data Scientist,"Reston, VA",,"Experience designing machine learning algorithms to extract insights from both structured and unstructured data sets, including experience with text analytics..."
1904labs,Data Scientist,"St. Louis, MO",,"As a Data Scientist with 1904labs, you will be working with other data scientists, data engineers, and developers to provide analytical services to clients...."
Air Liquide,Data Science Intern,"Newark, DE",,"Interact with Air Liquide’s Research Scientists and Academic Researchers. World leader in gases, technologies and services for Industry and Health, Air Liquide..."
Strategent Search,Data Scientist,"Honolulu, HI",,Installing and configuring information systems to ensure functionality. Developing database solutions to store and retrieve company information....
Cloudix,Data Scientist,"Denver, CO",$60 an hour,"Job Summary 3+ Years of Work Experience Power BI experience Python Experience R language Job Types: Full-time, Contract Salary: $60.00 /hour Experience: ..."
Greenville Health System,DATA SCIENTIST,"Greenville, SC",,Develops financial and clinical data analytics and analysis based on claims (administrative) data and electronic medical records (EMR) with a focus on...
Disney Streaming Services,Data Scientist,"New York, NY",,"The Data Scientist is a critical position within DSS and in the Data organization who specializes in applying machine learning methods to meet optimization,..."
Deloitte,Workforce Analytics - Data Scientist,"Atlanta, GA",,"As a Workforce Analytics Data Scientist you will implement large-scale data ecosystems including data management, governance and the integration of structured..."
Lennon Wright Associates,"Data Scientist - AI/ ML - Houston, TX","Houston, TX","$100,000 - $180,000 a year",The team is fantastic you will be working alongside other scientists who have a strong passion for machine learning....
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
University of California San Francisco,Data Scientist,"San Francisco, CA","$87,000 - $128,000 a year (Indeed est.)","The Arnaout laboratory studies deep and machine learning methods for biomedical imaging and related clinical data, with the goals of decreasing diagnostic error..."
BlackHorse Solutions,BlackHorse Jr. to Mid-Level Data Scientist,"Herndon, VA",,"Data modeling and data visualization. Our specific capabilities include full spectrum cyber, data analytics, training and tradecraft, and distribution of..."
Apple,"Data Analyst, Health","Santa Clara Valley, CA",,"Minimum three years of solid hands-on experience with data visualization, data mining, and analytics. The Health Special Projects team is looking for an..."
T. Rowe Price,Data Scientist (Multiple Levels) - NYC,"New York, NY","$74,000 - $109,000 a year (Indeed est.)","We’re looking for Data Scientists at various levels to join our Technology Development Center in Union Square, NYC...."
Bank of America,Data Scientist 1,"Charlotte, NC",,Facility in pulling data from SQL databases and flat files. Take projects from ideation to data analysis to visualization and presentation....
UNITED PARCEL SERVICE,Sr. Data Scientist,"Atlanta, GA",,"Mentors junior-level data scientists. Collaborates with cross-functional teams of data scientists, data engineers, application developers, etc. to deliver..."
Verizon,Lead Data Scientist,"Irving, TX",,"Be a subject matter expert on machine learning and predictive modeling. You will work closely with a team of talented data scientists, Big Data engineers, and..."
Intel,Data Scientist Internship 2019,"Phoenix, AZ","$91,000 - $134,000 a year (Indeed est.)","Summer Intern Job Assignment - Uses predictive modeling, statistics, Machine Learning, Data Mining, and other data analysis techniques to collect, explore, and..."
Apple,"Data Scientist - Analytics, Health Strategic Initiatives","Santa Clara Valley, CA",,"We are an experienced team of business leaders, doctors, designers, PMs, and data scientists. As a data scientist on the team you will have direct and immediate..."
ED Wallach Search Group,Data Scientist,"Reston, VA","$106,000 - $157,000 a year (Indeed est.)","As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC","$99,000 - $146,000 a year (Indeed est.)","Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
"PRA Group, Inc.",Data Scientist,"Norfolk, VA","$91,000 - $135,000 a year (Indeed est.)","Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
